student_answer,score
"Two of the major steps involved in protein synthesis are transcription and translation. Transcription is when the DNA zips open and then the mRNA connects to it. After the mRNA connects to the DNA, the mRNA leaves the cell and goes to the endoplasmic riticulum where the ribosomes are. There is meets up with the tRNA. This process is called Translation.",1.0
light gray :: I choose light gray because it would be a nic e temperature. If the dog house was panted black the temperature would av erage 53(DEG) C. If it was dark gray the temperature would average 48(DEG) C. If the dog houyse was painted white then the temperature would average 42(DEG) C. But a light gray color would make the average tempurature a nice comfertable 45(DEG)C.,0.0
"A good procedure would show a little more information such as,  how much vinegar you pour into each container. It should also tell the size, and or type of containers used in this experiment. Also for it to be more accurate they should have started by making sure each sample has equal mass so it is easier to determine the resaults.",2.5
He separates them into different sub headings.,1.0
"The process of protien synthesis invovles four steps, including phase 1,meiosis, phase 2, and mitosis.  This causes many changes within the cell.",0.0
"The significance of the word ""invasive"" is that the government overestimates the threat posed by the reptiles that ar invasive and are a major threat to humans.",0.5
A. My conclusion to the polymet investigation is that plastic be is more likely to stretch the longest in five minutes. ^p B. They experiment could had been improved if they added more trials to show consistency  or change in the experiment. Another way to give a  hypothesis to show if you predicted wright or wrong.,2.0
then hes ilitereatc,0.0
mRNA leaves the nucleus.it makes a copy of itself.the copy then makes protein.and transcription occurs.,0.0
it is that if one can do with out it will not go no were .if the movement of the substance it will move all around the world. if you,0.0
Well Im not sure about this answer but if you want the same answer you repeat the steps in order to get the answer. But I think if they do the wood the viniguer will suck up-more because wood suck any liquid up. So it would have a different answer.,0.0
white :: The color white would affect the dog house in many good ways. one way is it wouldn't be so hot in the dog house and th e dog would enjoy being in it. The data table shows the temperature throu gh a three way trial. the average temperature is 42(DEG)c which is alot cooler and fresh then the color temperatures .,2.0
"Pandas in China and koalas in Australia are similar because they are both specialists. China's panda ""eats almost nothing but bamboo"" and Australia's koala ""eats eucalyptus leaves exclusively.""  They are different from pythons because pythons are generalists that can live anywhere and eat anything.",1.5
The word invasive is used a lot in this article to explain what type of animal a reptile is when they use that word they're making it known that those animals are quite dangerous and are hard to be picked as sutible pets.,0.0
A.) Plastic type 2 had more stretchability then all the other plastics tested. ^p B>) The student could have improved the test by saying how much weights was added during the experiment. The student could have also discribed the rate at which to add the weights for consistancy.,1.0
"black :: Black would affect the air temperature in the dog house. In the experiment the black lid color had on average of 53(DEG) C. This color would greatly effect the dog house in the summer. On hot days, the black color would attract heat, which would be a health issue for the dog.",1.0
"In order to replicate the experiment I would need to know how much vinager to pour into the containers, tell what the different samples are in the directions, and to be sure about the answers, perform the experiment 2 or 3 times again.",2.0
"There four major steps of protien synthesis. The first is the mRNA going to the rRNA. Then the rRNA takes the information from the mRNA to the tRNA. Next the tRNA will take the information it has and translate it. Lastly, the tRNA will take the information and make a protein.",1.0
"On statement 2, They need to put the measurement of the containers ^p On statmen 4 how much water? ^p On number 6 whats the measuremt were suppost to use for the mass.",1.0
"Pandas and koalas are similar because they both live in specific areas. Pandas need what is provided in China and koalas need what is in Australia. Pythons differ, however because they can adapt anywhere with similar climats, for example Asia and the US.",1.0
"After having the conversatino with her Aunt Kolab, Rose finally realized that her life could be getting easier.",0.0
Such an observation isn't as strange as it seems. Orbital pathways around our planet that were once clear are now cluttered with the remains of numerous space exploration and satellite missions. This space junk is currently of great concern to governmet space agencies around the globe.,0.0
"Pandas in China are similar to Koalas in Australia, because they are both classified as specialists, and eat really only one thing. In contrast, pythons are different from both catirely, because they are classified as generalist who can live anywhere and eat anything.",2.0
"The auther put the artical in chronological order.  In the introduction, the auther is getting ready. In the second section the auther discribes how the dibry comes about.  in the third section, it is discribed at to what usually happens to the debre whenit is in the free flow orbit. This continues to what the posibilities are to going out into space, and what the dangers are.",1.5
"light gray ::  Light gray would be the best color for the do g house because it would absorb some heat, but would not absorb as much a sthe color black. If they chose black they dog house would absorb to much heat as shown in the experement that after just 10 minutes the temperatu re of the black lid jar rose 29(DEG)c but the light grey lid jar only ro se 21(DEG)c. Since black absorbs so much heat, it could cause the dog to be to hot, but light grey allows the dog to still have some heat just no t as much.",1.5
-mRNA carries out messages throughout the cell-tRNA transfers energies throughout the cell-rRNA reproduces,0.0
"The significance of the word ""invasive"" is to state how dangerous an animals can be when its bough into a new habitat.",0.5
Pandas in China are similar to koalas in Australia because pandas eat almost nothing but bamboo and pandas eat eucalyptus leaves almost exclusively as it says in the article. Pandas and koalas are different from phythons because its Asia that inhabits the climates that are similar to the 3rd wheel continental United States.,0.5
"The auther puts the article together in different sections. First, there is the hook and intro. Then, there is some background info and then the statistics and current matters on this subject.",1.5
"white :: In the testing of which color made the air in side of the jar hottest, the black was the hottest, then came the dark gr ay, than light grey, then the white was the coolest so the air inside of the doghouse would be cooler if it was white which would be best for the dog.",2.0
"The Transfer, the reading of the information, the sending of the proteins, and recieving",0.0
"The author uses heading to organize his article. His first heading, What Is Space Junk, gives the topic of the following paragraphs. Through the use of headings, the author ensures that the reader can understand the organization of the article with ease. The author also goes in chronilogical order. He starts in 1957, the year the Soviet Union launched its first satellite, and ends in the presnet day.",2.0
An example from the story that tells Paul some background information about Mr. Leonard is when Paul gets on the track and field website thats says Mr. Leonard was a college track star. It surprises Paul and also lets him know Mr. Leonard was a good runner. Also it inspires Paul to continue track and even become an even better athelete.,2.0
That she is a hard worker and that she really cares about her family.,1.0
That Anna is her little sister and that they hate when they mother is always working late.,0.0
Pandas in China eat basically only bamboo and koalas in Australia basically only eat eucalyptus leaves. There fore it is hard for them to live in any other and find or environmental. Unlike the python which they dont have a problem with migrating and adapting in other environments.,2.0
"Transcription, Translation",0.0
"white :: White is the best color to paint the doghouse because, based on the experiment, dark colors absord heat and light colo rs don't. The hottest air temperature in the jar experiment (53(DEG)c) w as from the jar with the black lid, and the jar with the coolest air temp erature (42(DEG)c) was from the jar with the white lid, proving that lig ht colors don't absorb heat and dark colors do.",2.0
rna,0.0
"If I was going to replicate this expirment,I would need to know what the ""samples"" are,how much vinegar I need to pour in the containers and if I should measure it before I start.",2.0
"Koalas and panda bears in China are similar in terms of there diet. They are both herbivores that eat plants, as explained in paragraph 21. Also they are specialists who do not do best in and around humans.'' Pythons however, are generalists and thus are more abundant.",0.5
"One trait that can describe Rose from her conversation with Aunt Kolab would be when she didn't want to tell the truth to her Aunt. Her not telling the truth to her Aunt, shows that she is very conserned on other peoples feelings. She doesn't want to tell the truth and then hurt her Aunts feelings so she remains quiet. She also doesn't want to tell her Aunt because she belives that she will go and tell her mom about what she told her Aunt on how she really feels.",2.0
white :: the white paint would make the inside of the dog house cool and not hot becuse dark colors absorb more energy as said in the text and bright colors don't.,2.0
"The three processes are diffusion, cell movement, and also cell mutation.",0.0
a) I conclude that plastic B has the highest tensile strength. B) They could have said how much weight to add. As well as add a different amount of weight for the second trial (preferrably a higher amount).,1.0
"Pandas in China and koalas in Australia are similar because of their classification as a specialist species. The article sides that these animals are specialists because they eat almost exclusively are species. What a python is however, is a generalist. The article claims that generalists not only eat in wide range of food but they also can live in various areas and adapt very quickly to change. Pandas in China are similar to koalas in Australia because they are specialists, and that's why they are different from pythons.",1.0
She is always looking to the future. Like in the second sentance of paragraph 23 she said 'maybe her life would get easier'.,2.0
It does not expalain way they did it in the first place but what they did must of be good for the space program,0.0
"Paul is embarrassed by his reading problems but, later he finds out that Mr. Leonard and him are not so different because in Mr. Leonard's past life as a hurdler he struggled with reading too.",2.0
After reading the procedure there were a few things I need to know to replicate the experiment. One thing is the amount of vinegar used. Another is How much water to use when rinsing it. The last thing is how to store the samples for 24 hours. There were a few problems with this procedure.,2.0
Rose is optimistic about situations.Her sister Anna thinks it's been a long time since she's seen her Papa but Rose tries to make it seem like it wasn't a long time by saying 'It's only been four months.',0.0
I dont know,0.0
"Pandas in China are similar to koalas in Australia because they  both eat leaves and plants. They are not carnivors like pythons. According to the article it states "" A specialist is China's panda which eats almost nothing but bamboo, or Australia's koala bear which eats eucalyptus leaves most exclusively. The quote already states pandas and koalas do not like meat.",2.0
"Rose is strong. In her conversation with Aunt Kolab, she is careful because she doesn't want to reveal to her aunt that she is exhausted from working and going to school. Rose fears that tis may dissapoint her aunt and her mother. She feels weighed down from all of her responsibilites and doesn't think that all of this is necessary. But she does this with a good heart.",0.0
One step is that the cells in mRNA are copied.Another step is once the mRNA leaves the nucleus it turns to RNA.A third step is the RNA changes its sugar to Ribose.,0.0
"Rose seems to be a busy-body who has no time to enjoy life, case in point : 'when would she squeeze in writing a flawless three-thousand-word essay?'",0.0
"She is a person who thinks bout every thing even if it is a old thought. like ther dream she had, how she remembered him jumpin off the rock and sank like a rock and had her pinned to the ground and didnt even realize it.",0.0
"Paul knew exactly how Mr. Leonard felt about not knowing how to read. Paul felt the embarrassment he felt when he had read aloud infront of the class, or having to answer questions he didn't know the answer too.",2.0
"To control the movement of substances across the cell membrane, they use diffusion. Diffusion is the process in which things from a high concentration, move to an area of low concentration.",1.0
cell diffusionosmosis,0.0
"The measures of every plastic should be the same to start. Secondly, there should be a precise amount of weights being added. My conclusion is that type B stretched the most. It was easily the longest.",3.0
"The information Paul finds about Mr. Leonard on the website is surprising to him.  He found out that Mr. Leonard also had, and still does, trouble reading.  Mr. Leonard was a great hurdler in college and flunked out of school because he could not read.       Paul finds this to be surprising.  He feels empowered to help Mr. Leonard to learn how to read, since Mr. Leonard has helped him learn to jump hurdles and get pass obstacles, like not being able to read very well or at all.",2.0
"Pandas in China only eat bamboo, Koalas in Australia only eats eucalyptus leaves, they are also both specialist. Pythons are generalist and pretty much can eat anything.",1.0
"He organizes in diffrent sections, describing each section.",1.0
I want to know if the containers are the same size. Also how many times you have to do this experiment until its accurate.,1.0
The major step involved in protein synthesis are that the proteins cycle through the body and give it all of the protein and nutrients that it needs.,0.0
melanie Adair,0.0
"'We have our part to do to help Paul finish college. Then he'll get a good job,Anna, and he'll pay for you and me to go to college.' This is a quote taken out of the passage. Rose is trying to calm Anna down she understands that  its hard for her and it is almost as if Rose has become the 'mother figure' in Annas life. So the trait that identified in the passage is that she caring. She cares so much for the other people in her life that she is willing to suffer.",2.0
She works hard because her aunt offers to  do some work to make some money.,1.0
"I think the background information of Mr. Leonard inspired Paul. After Paul found out that Mr. Leonard was a star track runner, he was shocked that Mr. Leonard had not already told him. Paul decided that he wanted to help Mr. Leonard to learn how to read because afterall Mr. Leonard was helping him become a track runner. This helps Paul relate to Mr. Leonard better because they both have reading issues and are good track runners.",2.0
"It use prophase, metaphase, anaphase, and telophase. In prophase the chromosomes begin to develop chromatids. They are then attatched to the centromere. The next stage is metaphase. The nucleus begins to dissapear. The chromosomes finish their attatchment and line up at the center. The next stage is anaphase where the centromere splits and each centromere goes to a pole. In telophase the cell then slpits in half to form two cells.",0.0
He starts to realize that Mr. Leonard is trying to teach him a life lesson on never giving up because he was a good athelete and ended up not being able to run because he couldn't read. He then realized he needed to learn to read and try his best to achieve his own greatness.,0.0
"To replicate the experiment , you would need to know what samples to test, how much vinegar to put in the containers, and the temperature in which the samples are kept for 24 hours.",3.0
"You may want to tell in the experiment how much vinegar you are pouring in; Explain how you found the differences in mass, mass before you rinse with the distilled water.",1.0
"It carrys a copy of the DNA strand to the ribosomeIt matches up with its partner, releases Amino acids, then stops at a stop codon after the process get there and brakes of making protein.",1.0
He gives it in order of what he feels is important.,0.0
"The significance of the word ""invasive"" to the rest of the article is unfair. The snakes didn't invade anything they were introduced. It's just a mean opinion of the snakes becoming welcoming.",0.0
"In prophase, the nuclear membrane begans to disappear.  Then, in anaphase the chromosomes began to break apart and go to opposite poles.  Then in metaphase they chromosomes are at opposite poles.  Then, the cell begans to break apart into two whole new cells.",0.0
"He realizes that Mr. Leonard is a lot by him with his reading disability and how its embarrassing when they are called on to read aloud. Also, he feels greatful for the time he has helped him to excel in something.",1.5
"Pandas in China are similar to Koalas in Australia.They are because they are both specialists who cannot live anywhere. For example, pandas eats almost nothing but bamboo and a koala bear eats eucalyptus leaves almost exclusively. They are both different from pythons because pythons are generalists which are like us humans who can live/adapt anywhere.",0.0
-Translation:  moving out of the nucleus into the other parts of the cell-Fusion:  RNA moves to amino acids-Replication:  copying the sequence to replicate the DNA-Reaches stop codon:  the stop codon stops the sequence from being replicated any further.,1.0
the blood flow     the size of the cell to make it though the vansalso they need to be strong to fight off bacteria,0.0
prophase-anaphase-metaphase-where the cells begins to splitinterphase-,0.0
paul feels imapthectic twords mr.lenord her fells that they are one in the same because of him sharing.,1.0
after it leaves the nucleus it then goes to the,0.0
"mRNA leaves the nucleus and goes to rRNA, rRNA then makes replicas of the DNA and tRNA takes it to the organells to follow the instructions",1.0
light gray :: light gray because its not to light and its n ot to dark,0.5
"To me the word invasive comes from word invaded. In paragraph seven, the author said that he thinks the term ""invasive species"" is unfair because there introduced not invading.",0.0
Rose is stressed. Aunt Kolab can see that Rose feels weighed down by what she is doing to help her family.,0.0
The nucleus holds all the DNA and controls the cells functions. The proteins help control what passes through the cell membrane. The cell membrane also determines what comes in and out of the cell.,0.0
The significance of the invasive is describing how the pets come about .The government believes that the invasive animals tool over the new land why MacInnes feels that these new animals were just introduced the the new region the word is used in order to describe the two different view points. One is invasion of the land while the other view part is just introduction is it.,1.0
"In order to replicate this experiment, you must be able to know what the four materials are, how to measure the mass, how much vinegar should be poured into the containers and how much distilled water should they rinse it with. They should start by saying, d determine the mass(put the tripple beam balance), of the four diff. samples(name them), then pour vinegar(how much) into containers, then these step of step 4, wash( how much distilled water, and it would be better.",2.0
"Many species go on the verge of being extinct due to predators becoming more abundant to an area. The python became ""invasive"" when it began appearing in Florida, an example would be the key largo wood rat, according to the article it is one of the endangered species in the keys. Finding one with a tracker in the python's stomach concludes that this reptile is invasive.",2.0
"I would have to check the mass of four different samples. Put vinegar in each one of the separate containers. Put a sample of a marble in one container and label it then repeat with the limestone, wood and plastic. While waiting 24 hours. I would remove the samples from their container and rinse them with distilled water then allow the samples to dry for an half an hour.",0.0
"After reading the groups procedure, there are some things that may need to be added to be able to replicate the expirement. In the procedure, the students would have to add what the four samples are that are being used to determine the mass. Also, the students used to write down how much vinegar to put into each of the four containers. Last but not the least, the students will have to add what size should all four containers be for the samples.",3.0
"You would also need to know what kind of object you used for each material, for example plastic could",3.0
"A conclusion of the student's rest of stretchability on polymers is, plastic type B is the stretchiest because it stretched out the most out off all the other plastics. Plastic type A would be the least stretchiest because it stretched out the least out of all the other plastic types. 2 ways the students could have improved the results are; increase the number of plastics being tested so that you have more results; are increase the number of plastics being tested so that you have more results, The second way is add more weights when stretching out the plastics so you can see how they react under more weight pressure.",1.0
"The author organizes the article very well. The author starts with getting your attention he then gives background information on space. Next, the author tells how the debris in space becomes uncontrolled. Finally, the author says how small the debris can be and that this is a big problem.",1.5
Paul was going to help the teacher with things he needed help on.  he did this by walkin towards the school telling Mr. leonard it was time for his training.,0.0
mRNA- tells ribosomes the amino acid sequence to make the proteinribosomes (rRNA)- assemble the proteintRNA- Transfers the protein to the cellcell membrane- allows protein in the cell,0.0
"a)Plastic type B stretched most, D second most, C third most, and A stretched the least making B the most stretchable and A the least. b) One way to improve the experimental design and/or validity is to tell which types of plastics they used another is to tell how much weight they added in the clamp.",2.0
They both are different from pythons; one they can live in any conditions while pythons need to stay close to the Equator. For and pandas and koalas mostly eat leaves and stuff like that. But pythons eat other animals.,2.0
Panda and Koala eat the same type of plants.,1.0
"She dont pay attention too anna, and anna dont pay attention too her.",0.0
Rose feels very overworked and when she talks to her Aunt Kolab she can't tell her the truth about how she feels taking on a big part of the house work so she lies. She gives off a very exhausting vibe about her extremely busy schedule.,0.0
The author organizes the article with tittles for sections and details all organised together.,1.0
"After Paul learns Mr. Leonard's history, Paul realizes that Mr. Leonard was motivating him to push harder for his goals. Mr. Leonard was not able to read which changed his entire life. He is concerned for Paul. Paul then understands that he must overcome his weakness in reading because he doesn't want to give up like Mr. Leonard had.",1.0
The mRNA copies the anti codons from the DNA and transports it through the cytoplasm. then it meets up with the tRNA and makes an amino acid.,0.0
"Rose seems to understand that everything she is in the best interest of her and her family, but the pressure only weighs down on her more. This is prevalent when she is speaking with her sister, Anna. Despite the feelings of stress bearing down on her, she explains their current situation to her sister calmly and sincerely.",0.5
The word ''invasive'' has a lot of significance when it comes to the article. It talks about how many species of animals are being introduced to countries they don't belong at an alarming rate. It means that we as people need to stop it before it gets out of hand.,1.0
"white :: it would be much cooler inside the dog house because the color is light and reflects light better. as it said in the r esults, it had the lowest temperaute of 42 degree's Celcius",2.0
"Hardworking. Rose is a very hard working individual. She has school, work, housework, and homework. She takes on more responsibilites than she can probably handle but she does it all for the good of the family. You can see Rose's hardworking efforts as she goes above and beyond to win a essay contest. She puts more on her plate than she can eat but she takes every challenge head on. You can tell she is working hard from the stress that is related to us through her character. She is strong for her sister, making everything seem just peachy, but right when she has the chance, she breaks down to her Aunt, let's her know how she really feels.",1.0
Paul ask Mr. Leonard why he kept such a proud accomplishment from him.,0.0
"Paul find out that Mr. Leonard was a good track runner, but not so good at reading. It effected Paul by giving him a reason to run and work harder.",2.0
"The word invasive is significant to the article because is describes how the animals are starting to overflow. Als it states in paragraph5, ""but biologists see the trade in normal creatures. A trade in the rising number of invasive species such as the Burmese python which is breeding up a storm in the Everglades."" Since the animals are being taken at of the habitats they are now trying to put the number has in.",1.5
DNA....I don't know what else. :(,0.0
She tries to see things from another point of view.,0.0
mRNA leave the nucleusIt comes back with a specific amino acidThen it pairs up with a tRNA in the nucleusMore mRNA pair up with other tRNA The amino acid are joined together by a peptide bondThe tRNA discinnectsThe amino acids leave the nucleus to do its job,1.0
"She's sort of selfish, it seems like all she is focused on is herself. Like when her sister walked in and said she had a bad dream and Anna just ignored her and started talking about herself.",0.0
Paul is mad that someone check's his hall pass twice a week. And he really don't like that becuase they think he is going some where else then where he says he is going so that is way they check his hall pass twice a week.,0.0
1.Copies the mRNA first2.Then transfers it3.It then codes again4.and repeats the process,0.0
"cellular respiration, ion channle, lipid bilayer",0.0
"Pandas in China are similar to koalas in Australia because they both stick to one primary food. Unlike pythons, which can eat anything and everywhere. Also, pythons adapt better to different climates/surroundings.",1.0
"In order to replicate this experiment, you would need corr",2.0
"The word invasive is significant to the article because in one part of article it is used in a good sense saying that invasive species are giving a broader look at pets put in other parts of the article it is used in a bad sence, stating that the species are taking over too much wit people live in the wild also that the species should stay on their native area.",1.0
"the author describes pandas and koala bears as specialists while pythons are generalists. Both pandas and koalas eat one food exclusively. Pandas eat bamboo and koala bears eat eucalyptus. Pythons however, can eat nearly anything and are capable of surviving in more than one place. Pandas and koala bears must remain where they can get the right food.",1.0
The author organizes the article by using different titles.  By doing this he made it easier for the reader to understand.,1.0
flagella nucler anvolope cytoplasm,0.0
The word invasive means something that takes over for example the USGS map showed potential pytho habitat stretching from California to Delaware and including much of the south. This explains how the python is taking over parts of Cal. and Delaware.,1.0
Pandas from China and koala from Australia both eat almost nothing but one particular thing. They are different from pythons.,2.0
"When Mr. Leonard's past is revealed, it says the two of them on an even field.  Paul can now relate to Mr. Leonard and understand that he is not alone.  This information allows Paul to respect his 'coach' even more now.",1.0
"Invasive pretty much means that species are taking over. And like MacInnes said, they're only being introduced to the world.",0.5
The difference proposed by the article between pandas and koalas and the python is the same are us between specialists and generalists respectively. Pandas and koalas are considered specialists because their survival is based on their ability to st subsist or a way specific that the python protrudes because it is generally able to survive in many habitats.,1.0
"After I read the groups procedure, I determined that you need to know how much vinegar to pour in the contain in step 2. Another piece of information you need is what type of vinigar you need. The last piece of information you need is what size container should you use.",3.0
Pandas from China and koalas are similar because,0.0
black ::  Black will affect the doghouse because dark c olors absorb more energy.,0.0
responsible,1.0
"The data provided concludes that plastic type ""B"" stretched the most. One way the student could improve the validity of this experiment would be to state the weight of the weights that are to be added onto the pieces of plastic. One thing the student also should have done was to have recorded the original lengths of the plastic samples so you could see just how much the pieces of plastic streched from their original lengths.",3.0
"The author organizes the article by iportance. First the author starts out by explaining what exactly space junk is, one of the more important factors of the article. With out that the reader wouldn't really under stand the article. Next it goes on to give examples of space junk and reasons why its there. Then it lastly tells us about how small some of the particles are and why they are such a big deal.",1.5
The autor organized the article with question and there answer below it. The first question is What Is Space Junk?,0.5
"white :: The best color to paint the top of the doghou se would be white. In the experiment, on average the black lid absorbed 5 3(DEG)C, dark gray:48(DEG)C, light gray:45(DEG)C, white:42(DEG)C . The black lid absorbed 11(DEG) more heat than the white lid. By painti ng the top of the doghouse white, it decreases the amount of heat getting traped within the doghouse.",2.0
"The effect of the backround information is that the narrator was having trouble in school, just as Mr. Leonard did in college. It also shows that if you do not work your hardest at what you are doing, you will not meet your expectations.",0.0
"In order to replicate the experiment, I would need to know the amount of each sample that is put into the containers. I would also need to know the environment in which the containers where during the 24 hours. Things such as temperature are necessary. I would also need to know how long the samples should be rinsed after the 24 hours.",2.0
food digestion,0.0
"The effect of the background information on Paul is that he learned that Mr. Leonard also had a reading problem, so they were able to relate.",2.0
Back when he was in collage he was a track star. He wasnt very good in school and counted on his friends to help him with his school work. Even then the school work was to hard for him. He lost his scholarship and flunked out of school.,0.0
"Pandas in China are similar to koalas in Australia they eat bamboo or Australia's koala bear, which eats eucalyptus. Koalas are different from pythos because they are dangerous. A python swallowed an alligator.",0.0
The panda from China and the kola from Australia are similar because they are both specialist. These two animals are different from pythons because pandas and koalas are only found in one area on the world. Where as the python is found across the world in many different contents and countries.,1.0
"If this experiment was going to be repeated, a control  would need to be used. Instead of using vinegar, the materials would be placed in water. Also, the procedure does not clearly state how much vinegar is used on each material. The amounts should be equal to balance it out. Changing the amount of time the samples sit inside the containers could also change the results of the experiment.",1.0
Mr. Leonard was a star track runner and a horrible reader too.,0.0
The author organizes this article by putting headings on each subject to tell you what it is going to be about. The headings are also in a bigger font and bolded.,1.0
"One piece of additional information that I would need to replicate the experiment is the amount of vinegar that should be poured in each of the four containers. This is important because thew vinegar is what caused the samples to lose mass, so the amount of mass lost in each sample.If the amount of vinegar is inconsistent, then the data won't be valid. I would also need to know the amount of each sample needed and the mass of the container.",1.5
"Invasive describes how fast these animals have come over to other places and in the manor they have came in the come in big numbers and they keep spreading, like paragraph 3.",0.5
"I would have 4 container caled the 4s marble, limestar wood and plastic so the readers can know whats in the containers then poured a even amount of vinegar on each samee. Let it sit & dry out for 24 hours & deterime the mass I got at the end culd compared it to the mass I got in the begeing vig.",0.0
"The significance of the word ""invasive"" is to explain/inform the reader about the species/animals. The article says ""even the term ""invasive"" is unfair.""",0.0
Flaggelum is used to move. Also in mRNA.,0.0
a) The type of plastic that stretched the highest amount of mm was plastic type B with a total of 45 mm. The record trial was more than the first trial as shown on the data table. ^p A way that the student could have improved the experimental design could be to stretch the plastic with your hands. A second way would be to wait more than five minutes to take the clarops off.,1.0
"Additional information needed to replicate the experiment would be how much vinegar was added to each of the four separate containers. Also you might say how long to rinse the samples under distilled water for. Finally, the students should also state where to place each cup during the experiment and to dry. You need to know whether it should be in a cold, wet environment or maybe warm & dry.",3.0
"Some cells have a cell wall. A cell wall controls what enters and exits a cell. The cell membrane is very thick and can be very sensitive in what it receives into it.Cell membranes only have openings, like doors, to recieve certain sized things so anything unwanted can be left out.",0.0
"She's afraid of hurting people, emotionally.  In the passages, in says, 'Rose didn't anser.  If she told the truth, she would hurt her aunt.",0.0
"paul is supriszed that mr. leonard failed his collage classes, and at the end he makes the effert to help mr. leonard to read",2.0
"The author organizes the article very well. He starts off with a great introduction that has the ability to catch the reader's attention. He then tells us what space junk is, as well as provides us with reasons why sending objects into space. We send capsules, telescopes, and satellites into space because they do so much for us; they monitor atmospheric conditions and make global wireless communcation possible.               In the next paragraph we read about crash courses. Having read the article before it, we know why this can be a terrible occurence. The following paragraph, 'Little Bits, But a Big Deal', gives us more evidence that space debris can be a very serious problem. So at the end of reading the article we've been informed in a good order about 'Orbiting Junk'.",2.0
Because pauls coach child life is simmilar to his as in a good runner but a bad reader....,0.5
The mRNA leaves the nucleus and it transferred to the ribosome.After the mRNA arrives copies begin being made in the ribosome.After the copies are made they are sent out of the ribosomes and can be used for just about anything.But they can also be transferred back to the nucleus to be used for reproduction.,1.0
"The pandas in China are similar to the koalas in Australia, because they eat not that much. The pandas eat bamboo and koala eat eucalyptus leaves. They are animals that feed on trees.",0.0
"Stressful. When would she squeeze in writing a flawless three-thousand-word essay? 'I'm insane,' she said grimly as she gathered books and papers.",0.0
The students have to make sure the test results are accurate and that the answers are precise.,0.0
"The background information about Mr. Leonard has an astronomical effect on Paul. Paul found a new form of respect for Mr. Leonard after reading the background information, which can be infered by Paul's astonishment of Mr. Leonard's accomplishments. Paul now looks up to Mr. Leonard as an idol for jumping hurtles. When Paul learns of Mr. Leonards disability, he wants to help Mr. Leonard in the same way that Mr. Leonard helped him.",2.0
"The additional information you would need in order to replicate the experiment are what to use to determine the mass, which would be a triple beam balance. You would also need to know the amount of the sample that would be needed to more in step 3. You would also need to know what the 4 samples you are testing are. Those samples would be marble, limestone, wood and plastic.",1.0
"a) When stretched plastic B seemed to be weakest and stretch the most as where plastic A seemed strongest. ^p One way is to have equal size plastics to start with. Another way is to say exactly how much weight needed to  be added to each,",3.0
"Rose is a deligent person. 'The day, like most of her days, had been too long, too demanding.' Even though her days had been too long, she still made it through each one, doing what she was suppose to do to help her family and herself.",0.0
"Rose is a hard working, independent, cunning young woman that is not afraid to go for it all. Attempting that 3,000 wordessay is absoultly amazing.",1.0
It effects Paul because now he realizes that to get into college he has to do well in School. He knows this now because Mr. Leonard dropped out of college because he couldn't make the grades even though he had scholarships.,1.0
"You would need to know how much vinegar was put in to each sample, find the size and shape of the container so the same amount of vinegar was actually covering the sample. You would need to know the shape or volume of sample because the surface are has to be the same so the same amount is affected by the vinegar.",3.0
"The term ""invasive"" is crucial to this article because it's harsh meaning resembles the way people think of reptiles. Reptiles, such as lizards and snakes, are generally treated badly. People are fearful and are disgursted by them. The term ""invasive"" implies harsh cold attitude like the one often given to reptiles.",0.0
"Paul is just like Mr. Leonard, he is good at track but he can't read. I think that it gives him motivation to work hard to learn how to read so he can succeed and keep doing track.",1.5
white :: i picked the white color because the affect o f white color paint makes the temperature for the dog house to be alot mo re cooler so if the dog house is white the dog's temperature will be alot more cooler than the other colors their is,1.0
"In the article it is explained that both pandas and koalas are specialists. Pythons were described as generalists. The panda and koala both eat basically one type of food, bamboo for the panda and eucalyptus leaves for the koala. They are different from pythons because pythons are generalists. Pythons eat many different types of prey.",1.0
transportation,0.0
tRNA which transfers protein from point A to point B,0.0
"The information the coach provides Paul with enlightens and motivates him to make a better future for himself, and to make Mr. Leonard proud. Even though he is a weak reader, Paul finds that he is good at hurdles, something he and Mr. Leonard have in common. After Mr. Leonard shares his story, Paul is motivated to become a better reader, as well as to help Mr. Leonard to do so as well.",1.5
"Rose seems like a person that is caring. She seems willing to help her family even though she is having a difficult time with everything going on. Just as it says she has an essay to write, work, school, and other things at home.",1.0
"The steps are: The enzymes leave, the nucleus gets smaller, the rybosomes get rid of waist, and the rybonuclaic acid eats away the nucleus.",0.0
"mRNA leaves the nucleus, the amino acids form a protein, tRNA transfers the poteins from the amino acids, and I do not know any thing els.",0.0
"three processes that cells use to control movement is active transport which uses energy to go against the current, passive transport which requires no energy because is goes with the current, and transport protiens which carry substances through and across the membrane.",2.0
"mRNA has to leave the nucleus, then it transfers information to tRNA. After it does that it makes copies, then lastly sends it back to mRNA.",0.0
"Based on the student's data, the trials for each of the different plastics were very similar and showed no significant chang in how much the plastic stretched. Two ways to be more specific on exactly how much weight is to be added to the clamp. Also the student should include how big each plastic sample should be, because if they used four different size samples the results would be inaccurate.",2.0
white :: In the summer when its reqqally hot the white color will attract less heat therefore leaving the doghouse cooler.,1.0
Paul feels mostly happy about this and also has a lot of questions for Mr. Leonard. When Mr. Leonard saw that picture of him as a teenager and smiled you could tell he was happy to answer his questions.,0.0
